"Subset","Parameter","Mean","Stdev","Median","Minimum","Maximum","Quartile (25)","Quartile (75)"
"B_cell","Count",382.145487,222.648954,321.16,50.8,1469.825,221.6004,481.275
"B_cell","Frequency",11.966047,5.001258,11.35,3,31.2,8.2,14.525
"B_immature","Count",31.712477,31.65723,21.118583,0.62507,157.381283,10.66417,43.892668
"B_immature","Frequency",11.276337,7.443234,9,0.8,40.7,5.4,15.225
"B_memory","Count",89.876192,61.230773,74.887783,8.408361,318.721679,50.115936,111.095868
"B_memory","Frequency",23.946598,8.939261,23.774856,3.79438,51.989338,18.236725,29.008971
"B_naive","Count",261.815731,165.145763,220.667367,23.150756,1134.986464,151.343908,329.489897
"B_naive","Frequency",67.637196,10.368564,68.003207,40.309206,89.152,61.074562,74.906969
"B1","Count",16.204229,13.650008,12.30894,1.783043,79.344614,7.082025,20.412359
"B1","Frequency",4.250717,2.388058,3.63613,0.877635,13.386183,2.586635,5.194574
"CD39iTreg","Count",0.263499,0.254559,0.182755,0.010321,1.380136,0.084913,0.319583
"CD39iTreg","Frequency",2.956716,2.847496,1.943249,0.076442,16.65554,0.928455,4.224516
"CD39nTreg","Count",16.842238,10.807517,15.451097,0.210609,91.079512,9.427401,21.175895
"CD39nTreg","Frequency",1.48174,0.790323,1.369838,0.016043,3.92855,0.858073,1.966794
"CD39Treg","Count",20.733352,12.896531,18.22276,1.040116,99.484213,11.586614,28.064079
"CD39Treg","Frequency",1.832744,1.018494,1.58235,0.079229,4.388987,1.040376,2.581625
"CD4","Count",1009.112229,408.155181,961.038338,215.28936,2829.091687,713.836817,1242.066614
"CD4","Frequency",58.033333,9.139533,58.8,30.6,76.2,52.1,64.95
"CD4_EMRA","Count",26.486056,28.277961,18.038317,1.333363,178.653503,9.538737,31.232796
"CD4_EMRA","Frequency",2.70562,2.702261,1.9,0.2,18,0.9,3.3
"CD4_memory","Count",514.583728,214.150935,503.940596,137.569901,1208.844665,345.816806,631.117184
"CD4_memory","Frequency",51.727485,12.219483,50.9,25,89.1,43,59.5
"CD4_naive","Count",458.634404,264.151756,392.671216,44.464207,1666.335004,291.54511,568.667007
"CD4_naive","Frequency",44.630994,12.614064,44.6,9,72.5,36.4,54.25
"CD8","Count",548.054271,256.31477,519.838884,130.88834,1652.15568,360.845419,663.913473
"CD8","Frequency",30.900585,6.735817,30.3,17.3,50.3,26.05,34.8
"CD8_EMRA","Count",110.806786,99.98245,75.694419,2.821195,437.635757,39.089278,150.606256
"CD8_EMRA","Frequency",18.993977,12.30605,17.3,1.3,51.8,8.295,27.3
"CD8_memory","Count",169.177371,117.275298,138.001789,28.083608,664.412414,86.717974,222.305205
"CD8_memory","Frequency",31.124678,14.373021,28.5,7,62.4,19.7,42.4
"CD8_naive","Count",262.145997,152.204882,226.621361,14.900632,893.816223,167.102599,322.483966
"CD8_naive","Frequency",48.788889,18.727631,48.8,5.9,88.2,34.45,63.3
"DC","Count",23.460471,18.20318,19.545164,1.339392,91.533957,10.454164,31.590338
"DC","Frequency",0.741254,0.507263,0.577295,0.093559,2.049695,0.35752,1.005066
"Gamma_delta_T","Count",61.967185,52.241392,48.163517,4.430841,347.83345,27.612127,75.535211
"Gamma_delta_T","Frequency",3.431783,2.520328,2.747655,0,14.6846,1.6606,4.245565
"iNKT","Count",2.234932,5.022339,0.479085,0.05635,29.599989,0.239206,1.569193
"iNKT","Frequency",0.127131,0.271834,0.033005,0.004596,2.000558,0.012338,0.087012
"iTreg","Count",5.11625,3.802813,4.132514,0.391595,21.082962,2.232646,7.257692
"iTreg","Frequency",0.459244,0.338238,0.394945,0.033682,1.747008,0.202545,0.674015
"Lymphomonocyte","Count",3161.055917,1055.444627,3024.5,820,6560,2385.25,3726
"Lymphomonocyte","Frequency",38.378698,7.400034,38,20,65,33,43
"mDC","Count",18.683036,15.4471,14.298338,1.217507,85.767318,7.498415,24.138715
"mDC","Frequency",78.387209,12.509933,79.6,21.3,99.5,72.275,87.2
"Monocyte","Count",498.827306,272.981,456.66,38.54,1696.674,323.175,617.5
"Monocyte","Frequency",15.75,6.812609,14.9,3.2,45.8,10.8,18.9
"Monocyte_Classical","Count",253.368818,187.008916,211.577184,11.28535,1549.063362,150.336,321.098513
"Monocyte_Classical","Frequency",50.227907,15.688172,51.1,2.9,92.7,40.375,60.375
"Monocyte_Inflammatory","Count",17.023893,14.633723,12.968438,0.70818,85.22506,5.48632,24.716016
"Monocyte_Inflammatory","Frequency",3.423116,2.802251,2.8,0.101,28.5,1.5925,4.7
"Monocyte_Patrolling","Count",93.588615,95.432418,63.155862,4.8175,826.250152,39.50208,117.706368
"Monocyte_Patrolling","Frequency",18.743953,11.514708,15.9,2,65.4,10.875,22.55
"Neutrophil","Count",5223.884911,1817.326883,4950,1180,10650,4000,6254
"Neutrophil","Frequency",61.621302,7.400034,62,35,80,57,67
"NK_cell","Count",299.440054,204.011585,254.848,49.608,1651.104,171.81465,369.708
"NK_cell","Frequency",9.340409,4.364737,9,2.3,32.4,5.9,11.95
"NKT","Count",28.805881,24.755212,20.47371,1.208411,142.56071,10.870994,39.267868
"NKT","Frequency",1.632027,1.257961,1.246,0.193304,6.6025,0.6945,2.1501
"nTreg","Count",23.822266,14.386966,18.977618,0.249537,96.482534,13.710095,32.111412
"nTreg","Frequency",2.097381,1.148373,1.842123,0,4.786217,1.175451,2.926638
"pDC","Count",4.699078,4.493934,3.450369,0.099937,25.435024,1.660344,5.886974
"pDC","Frequency",21.305756,12.382736,20.1,0.5,78.3,12.8,27.05
"Plasmablast","Count",4.920811,5.231948,3.382236,0.081106,36.73215,1.8625,5.715496
"Plasmablast","Frequency",1.490051,1.895228,0.9,0.0366,17.5,0.5,1.7
"Plasmablast_IgA","Count",2.814801,3.156179,1.908947,0.038093,27.32872,1.061787,3.595206
"Plasmablast_IgA","Frequency",0.829805,1.159316,0.55945,0.021594,13.02,0.274,1.030425
"T_cell","Count",1748.597278,640.22811,1713.44875,460.02,3817.9375,1235.75775,2117.025
"T_cell","Frequency",55.52924,9.207814,56.9,26.4,73.7,50.05,61.7
"TLC","Count",8384.940828,2567.531703,8000,2000,16000,6600,10000
"Treg","Count",28.938451,16.850389,24.510767,1.134259,107.202816,16.91652,38.230191
"Treg","Frequency",2.568856,1.36114,2.289,0.0864,6.09,1.47,3.4902
