"VARIABLE","Sex","Parameter","Neutrophil","Lymphomonocyte","B_cell","B1","B_immature","B_memory","B_naive","Plasmablast","Plasmablast_IgA","T_cell","CD4","CD8","Gamma_delta_T","NKT","iNKT","CD4_naive","CD4_memory","CD4_EMRA","CD8_naive","CD8_memory","CD8_EMRA","Treg","nTreg","iTreg","CD39Treg","CD39iTreg","CD39nTreg","Monocyte","Monocyte_Classical","Monocyte_Inflammatory","Monocyte_Patrolling","DC","mDC","pDC","NK_cell","TLC"
"Frequency","Female","Mean",59.9,40.1,10.8,4.1,12.7,22.9,68.4,2.6,1.6,62,61,28.1,4,1.8,0.1,45.3,51.4,2.4,53.6,27.9,17.4,2.8,2.2,0.6,1.7,3.1,1.4,15.6,52.9,3,16,0.5,73,26.7,9.1,NA
"Frequency","Female","Stdev",8.5,8.5,3.9,2,8.7,8.7,10.4,4.1,3,6.8,8.8,5.7,3.1,1.2,0.2,12,11.3,2,14.6,13.2,14.2,1,0.9,0.3,0.8,2.4,0.6,7.5,12,1.3,6.5,0.4,14.5,14.5,3.1,NA
"Frequency","Female","Median",60.5,39.5,9.9,3.6,12.4,23.5,67.1,1.3,0.7,63.3,63.5,27.8,3.3,1.3,0,45.8,50.8,1.9,50.6,22.4,12.9,2.8,2.3,0.5,1.7,2.7,1.4,13.9,52.8,2.8,14.1,0.5,77.4,22.4,9.2,NA
"Frequency","Female","Minimum",46,23,5.9,1.7,2,9.6,48.6,0.3,0.2,42.8,41.4,18.1,1.1,0.4,0,19.2,31.2,0.2,28.7,13.5,2.2,0.8,0.7,0.1,0.3,0.1,0.3,7.1,34.3,0.7,7.2,0.1,34.4,8.5,2.6,NA
"Frequency","Female","Maximum",77,54,19.5,9.2,29.5,38.5,85,17.5,13,70.5,71.4,39.3,14.4,4.4,0.8,67.2,80,8.5,76.4,62.4,44.8,4.4,3.5,1.3,2.9,8.2,2.3,41.7,71.9,5.3,29.2,1.7,91.5,64.8,14.4,NA
"Frequency","Female","1. Quartile",53.5,35.2,7.4,2.7,4.3,14.8,60.5,0.7,0.4,60.1,56.5,24.6,2.1,0.9,0,39.8,44.5,1,43,18.6,4.7,2.2,1.9,0.3,1.1,1.3,0.8,11.1,43.5,2.5,10.9,0.3,67.8,16.8,7.1,NA
"Frequency","Female","3. Quartile",64.8,46.5,14,4.8,20.5,30.1,78.5,1.7,1,66.5,66.2,30.5,4.8,2.6,0.1,53.2,56.2,3.5,62,36.6,30.1,3.5,2.6,0.8,2.4,4.1,1.8,17.9,64.5,3.8,20.6,0.7,82.9,32.1,11.1,NA
"Frequency","Male","Mean",59.2,40.8,10.7,4.1,10.8,24.9,67.3,1.9,1,61.6,55.7,33.6,4,2.6,0.2,41.5,55.1,2.5,41.5,39.4,18.1,2.9,2.3,0.5,1.9,2.5,1.6,15.2,46.1,4.2,22,0.6,80.8,18.8,10,NA
"Frequency","Male","Stdev",7.5,7.5,4.2,2.1,6.3,8.5,9.6,2.2,0.9,6.9,9.7,7.8,3.2,1.8,0.5,12.1,11.6,2.3,18.7,12.8,9.7,1.6,1.4,0.3,1.1,2.3,0.8,7.6,14.7,2.5,10.5,0.5,10.2,9.9,4.2,NA
"Frequency","Male","Median",58.5,41.5,10,3.5,9.6,23.3,70.6,1,0.6,60.8,56.1,33,3.5,1.8,0.1,42.1,53.9,2.3,38.7,41,19.9,2.5,1.6,0.4,1.8,2,1.5,14.9,47.4,4.7,19.6,0.5,81.7,17.8,9.8,NA
"Frequency","Male","Minimum",46,29,3.6,1,0.8,5.9,45.8,0.1,0.1,48.4,34.9,23.1,0,0.5,0,19.9,34.4,0.6,15.9,11.7,3.2,0.7,0,0.1,0.4,0.4,0.4,7.3,9.4,1,9.3,0.1,56.1,4.8,3.7,NA
"Frequency","Male","Maximum",71,54,22.9,7.8,24.7,47.3,88.9,9.6,3.1,73.7,71.8,50.3,14.7,6.6,2,63.3,76.1,11.5,82.1,60.4,37.2,5.8,4.7,1.3,4.2,11.9,3.1,45.8,73.6,9.9,51.3,1.6,95.3,42.3,18.2,NA
"Frequency","Male","1. Quartile",53.8,34.8,8.1,2.4,7,19.9,62.1,0.5,0.3,56.3,50,26.6,1.7,1.2,0,33.9,47.2,0.9,25.8,30.4,8.8,1.6,1.1,0.3,1.1,1.4,0.9,10.6,37.6,1.7,16.2,0.3,73.1,10.8,7.1,NA
"Frequency","Male","3. Quartile",65.2,46.2,13.4,5.5,13.1,28.4,74.4,2.3,1.5,67.6,64.4,40.1,5.1,3.6,0.1,49.5,63.4,3.4,52.1,49,24.9,4.1,3.5,0.7,2.7,2.7,2.3,17.3,55.7,6.2,27.1,1,89,26.3,13.1,NA
"Frequency","P-values","P_value",0.776,0.776,0.96,0.979,0.444,0.461,0.731,0.476,0.384,0.848,0.069,0.011,0.955,0.095,0.382,0.324,0.316,0.832,0.023,0.008,0.858,0.796,0.823,0.492,0.442,0.418,0.32,0.874,0.106,0.034,0.026,0.493,0.062,0.055,0.407,NA
"Frequency","P-values","P_adjust",1,1,1,1,1,1,1,1,1,1,1,0.4,1,1,1,1,1,1,0.812,0.271,1,1,1,1,1,1,1,1,1,1,0.912,1,1,1,1,NA
"Count","Female","Mean",4248.9,2773.1,294.1,13.1,26.6,65.1,204.3,6.3,3.8,1731.2,1072.7,484.8,63.8,29.9,1.7,492.8,546.5,23.4,261.3,128.9,88.7,31.6,25.4,6.2,19.5,0.3,15.7,432,215.1,13,67.7,14.8,10.6,4.2,253.3,7021.9
"Count","Female","Stdev",1334.4,834,117.3,11.1,22.2,34.7,94.6,8.6,6.3,604.5,438.4,194,39.1,20.2,2.7,255.4,242.5,21.1,132.7,74.5,88.2,15.6,13.7,3.2,10.3,0.3,9,259.8,93.5,8.5,40.2,12.1,8.6,4.5,107.9,1757
"Count","Female","Median",4067.1,2698.8,264.1,9.3,23.7,60.5,190.4,3.4,1.7,1671.9,1088.1,436.6,60.9,24.8,0.4,482.5,512.5,19,218.9,102.7,58.1,25.3,21.9,5.6,18.6,0.2,15.4,392.5,189.6,11.7,49.8,12.6,7.1,2.4,244.9,6875
"Count","Female","Minimum",2530,1845,116.6,3.5,2.3,27.5,78.6,1,0.5,987.2,437.3,266.6,19.3,6.4,0.1,131.3,236.2,1.8,88.5,63.9,5.9,10.4,7.9,1.8,3.9,0,4.1,180.3,74,2.8,14.3,2.8,1.9,0.6,49.6,4500
