"Variable 1","Variable 2","Correlation coefficient","P-value","Adjusted P (FDR)"
"B cell","B immature",0.297277910129942,0.0528729488963084,0.317237693377851
"B cell","B memory",-0.214738749622471,0.166715245478174,0.563775025774757
"B immature","B memory",-0.0936308378362022,0.550373435165978,0.839876224761955
"B cell","B naive",0.263666565992147,0.0875607500617606,0.400267964979205
"B immature","B naive",0.128893419505159,0.410082146327318,0.761100659122742
"B memory","B naive",-0.927665357897916,0,0
"B cell","B1",-0.130323165206886,0.404864514879062,0.761100659122742
"B immature","B1",-0.285498546660226,0.0634810412674525,0.344840728926404
"B memory","B1",0.0312594382361824,0.842270450458121,0.948938572620852
"B naive","B1",-0.253246753246753,0.10130711855297,0.4229358861556
"B cell","CD39iTreg",-0.119299305345817,0.446076030293673,0.790362899312281
"B immature","CD39iTreg",-0.141654396597351,0.364883388288362,0.735362323899889
"B memory","CD39iTreg",0.0951374207188161,0.543948105986768,0.837331195221613
"B naive","CD39iTreg",-0.159619450317125,0.306579491983147,0.706873239157648
"B1","CD39iTreg",-0.113711869525823,0.467810422813857,0.801960724823755
"B cell","CD39nTreg",0.222591362126246,0.151375830085952,0.53284292190255
"B immature","CD39nTreg",-0.213236682297931,0.169773161170808,0.563775025774757
"B memory","CD39nTreg",-0.000302023557837511,0.998466355586876,0.998849722964648
"B naive","CD39nTreg",-0.0579885231048022,0.711857759427003,0.894906897565375
"B1","CD39nTreg",0.014195107218363,0.928012973375885,0.968361363522663
"CD39iTreg","CD39nTreg",0.348384173965569,0.022054011138199,0.204289787385423
"B cell","CD39Treg",0.0880398671096345,0.574527484730844,0.845846855494394
"B immature","CD39Treg",-0.179861819133737,0.248450884726258,0.639570563090019
"B memory","CD39Treg",0.0425853216550891,0.786279589828419,0.918447526447041
"B naive","CD39Treg",-0.117034128662036,0.454819803286836,0.797232130669275
"B1","CD39Treg",-0.0172153427967381,0.912750340903275,0.964669498465859
"CD39iTreg","CD39Treg",0.598157656297191,2.27417168932043e-05,0.000631118532445996
"CD39nTreg","CD39Treg",0.925249169435216,0,0
"B cell","CD4",-0.0425114207272434,0.786641823320463,0.918447526447041
"B immature","CD4",0.115532734274711,0.460666140955838,0.797481057130107
"B memory","CD4",0.000226526220571457,0.998849722964648,0.998849722964648
"B naive","CD4",0.0585192736476264,0.709335517760399,0.893864327869906
"B1","CD4",0.071053724519247,0.650711595124268,0.858939305564034
"CD39iTreg","CD4",-0.0200098161504787,0.898656014434174,0.961730846237183
"CD39nTreg","CD4",-0.350209537003472,0.0213210051431576,0.2010266199212
"CD39Treg","CD4",-0.339789330857185,0.0257950645347569,0.212809282411744
"B cell","CD4 EMRA",0.0213689734739074,0.891811750782958,0.961730846237183
"B immature","CD4 EMRA",0.157139620931813,0.314252495403642,0.718291418065467
"B memory","CD4 EMRA",0.228262921595838,0.14095911998204,0.509769968154227
"B naive","CD4 EMRA",-0.325744705181755,0.0330373811286109,0.23762432548065
"B1","CD4 EMRA",0.137803450847636,0.378196147768806,0.742886582875695
"CD39iTreg","CD4 EMRA",0.0310340922182896,0.843393281152256,0.948938572620852
